rank,city,score,dataConfidence,infrastructure,safety,usage,connectivity,policy,comfort,cycleNetworkEquivalentNormalized,pedestrianAreasNormalized,roadVictimsNormalized,motorizationRateNormalized,publicTransportPassengersNormalized,publicTransportOfferNormalized,ztlNormalized,nitrogenDioxideNormalized,pm10Normalized,pm25Normalized,ozoneNormalized,fiabBikeSmileNormalized,bikeModalSharePercentNormalized,externalPolicyScoreNormalized
90,Caltanissetta,25.82,100,1.79,68.13,,0,,57.91,1.94,1.21,85.69,35.52,0,0,0,60.94,33.86,44.66,100,,,
91,Macerata,25.77,100,3.05,61.65,,8.48,,51.21,3.03,3.15,73.7,39.26,3.52,18.07,0,60.94,43.31,25.28,78.89,,,
92,Roma,25.7,100,1.9,49.31,,37.38,,36.25,1.72,2.64,49.03,49.83,42.97,52.41,10.75,17.19,23.79,41.9,73.33,,,
93,Ancona,25.27,100,4.37,51.68,,18.88,,46.69,4.64,3.31,49.87,55.03,12.7,34.29,3.47,51.82,32.29,29.17,78.89,,,
94,Trapani,25.07,100,2.38,63.73,,0,,59.03,2.97,0,80.58,32.43,0,0,0,58.33,40.16,45.98,100,,,
95,Latina,24.96,100,7.66,49.38,,6.5,,56.21,9.14,1.72,55.2,38.56,2.39,14.08,0,46.18,32.81,61.95,93.33,,,
96,Como,24.52,100,4.4,55.46,,14.68,,25.11,4.06,5.76,56.41,53.69,11.23,27.62,0,20.1,29.23,31.97,18.89,,,
97,Genova,24.38,100,2.28,44.21,,38.21,,29.13,2.55,1.22,18.41,92.13,65.17,42.93,4.65,26.99,45.11,37.24,2.22,,,
98,Ascoli Piceno,24.23,100,6.33,48.7,,9.4,,49.67,5.78,8.52,57.33,32.67,2.01,21.33,0.08,45.31,49.61,36.03,73.33,,,
99,Livorno,24.07,100,6.17,45.09,,14.44,,50.97,6.47,4.98,32.81,67.89,7.69,20.26,13.03,47.92,38.85,27.53,100,,,
100,Agrigento,23.93,100,1.7,56.11,,6.44,,61.77,1.77,1.4,73.98,22.92,2.39,13.59,0.48,73.96,30.71,52.05,94.44,,,
101,Sassari,23.64,100,0.79,51.27,,16.36,,59.45,0.99,0,56.65,41.27,19.42,25.86,0,60.94,38.59,46.1,100,,,
102,Savona,23.58,100,8.3,37.89,,16.02,,51.09,9.74,2.52,22.17,67.09,8.47,32.85,0,58.73,49.61,38.95,56.67,,,
103,Fermo,22.98,100,2.8,43.78,,7.33,,90.8,3.5,0,49.85,32.51,2.98,15.33,0.49,100,100,63.18,100,,,
104,Salerno,21.13,100,0.69,45.99,,10.95,,52.96,0.45,1.66,39.7,57.68,4.84,14.1,12.66,45.31,24.42,53.03,100,,,
105,Catania,20.32,100,4.5,36.3,,9.94,,49.99,4.97,2.63,44.51,21.04,4.17,20.52,0.91,14.93,11.82,100,87.78,,,
106,Viterbo,18.99,100,3.53,33.89,,5.29,,59.23,3.69,2.89,39.09,24.24,2.52,10.2,1.19,47.92,46.46,52.97,100,,,
